POP2010,OHU2010,MedianFamilyIncome,lapop20,lalowi20,lasnap20,TractLOWI,TractSNAP,lapop20_share,lalowi20_share,lasnap20_share
222209,79574,3167460,0.0,0.0,0.0,49395,6776,0.0,0.0,0.0
316236,115680,5915107,0.0,0.0,0.0,64738,8308,0.0,0.0,0.0
14034,5509,313202,0.0,0.0,0.0,2512,297,0.0,0.0,0.0
17411,7275,313695,0.0,0.0,0.0,5059,543,0.0,0.0,0.0
5961,2632,96917,0.0,0.0,0.0,2573,305,0.0,0.0,0.0
5190,2183,63750,0.0,0.0,0.0,1734,271,0.0,0.0,0.0
46689,16231,586703,0.0,0.0,0.0,13003,1600,0.0,0.0,0.0
10052,3980,112398,0.0,0.0,0.0,4199,908,0.0,0.0,0.0
43055,18831,596189,0.0,0.0,0.0,21108,5088,0.0,0.0,0.0
15903,6590,173557,0.0,0.0,0.0,6792,1320,0.0,0.0,0.0
28001,10504,351431,0.0,0.0,0.0,7802,1507,0.0,0.0,0.0
5927,2316,79291,0.0,0.0,0.0,3089,883,0.0,0.0,0.0
11151,4517,159855,0.0,0.0,0.0,4455,576,0.0,0.0,0.0
1081726,391627,34139855,0.0,0.0,0.0,171094,15647,0.0,0.0,0.0
22565,8347,583299,0.0,0.0,0.0,4061,405,0.0,0.0,0.0
12332,5101,477521,0.0,0.0,0.0,1448,78,0.0,0.0,0.0
65203,23658,1800389,0.0,0.0,0.0,11375,1134,0.0,0.0,0.0
15279,6415,169603,0.0,0.0,0.0,5022,729,0.0,0.0,0.0
25691,9449,308901,0.0,0.0,0.0,4837,469,0.0,0.0,0.0
56159,22780,556039,0.0,0.0,0.0,19942,2894,0.0,0.0,0.0
8582,3530,81160,0.0,0.0,0.0,4486,1203,0.0,0.0,0.0
78305,28864,1084306,0.0,0.0,0.0,16776,1802,0.0,0.0,0.0
24286,9505,321108,0.0,0.0,0.0,8879,1526,0.0,0.0,0.0
7042,2922,88268,0.0,0.0,0.0,3310,690,0.0,0.0,0.0
17286,7215,226227,0.0,0.0,0.0,5433,764,0.0,0.0,0.0
36858,14293,590421,0.0,0.0,0.0,9039,1217,0.0,0.0,0.0
21717,7998,424916,0.0,0.0,0.0,3133,575,0.0,0.0,0.0
15533,6846,195801,0.0,0.0,0.0,7720,1259,0.0,0.0,0.0
18403,6780,208692,0.0,0.0,0.0,5373,563,0.0,0.0,0.0
12243,3566,91503,0.0,0.0,0.0,3888,759,0.0,0.0,0.0
36241,15085,437248,0.0,0.0,0.0,16300,2382,0.0,0.0,0.0
137436,55031,1923494,0.0,0.0,0.0,47399,6602,0.0,0.0,0.0
99863,36589,2052526,0.0,0.0,0.0,16388,1616,0.0,0.0,0.0
48914,15988,664110,0.0,0.0,0.0,23432,1988,0.0,0.0,0.0
306935,124601,4862851,0.0,0.0,0.0,79896,11180,0.0,0.0,0.0
54151,23151,617425,0.0,0.0,0.0,25048,4082,0.0,0.0,0.0
2321,1081,55726,1058.443917,346.4161112,37.32935567,716,82,45.60292619560534,14.925295613959499,45.52360447560975
22591,9129,259020,0.0,0.0,0.0,9399,1945,0.0,0.0,0.0
35270,13718,613441,0.0,0.0,0.0,8350,1731,0.0,0.0,0.0
67009,26860,990116,0.0,0.0,0.0,12938,1214,0.0,0.0,0.0
23584,8376,470933,0.0,0.0,0.0,4749,544,0.0,0.0,0.0
15935,5979,274099,0.0,0.0,0.0,3914,506,0.0,0.0,0.0
6945,2882,102202,0.0,0.0,0.0,2952,215,0.0,0.0,0.0
11391,5265,188483,0.0,0.0,0.0,3434,425,0.0,0.0,0.0
25587,10159,250903,0.0,0.0,0.0,12231,2489,0.0,0.0,0.0
7042,2237,59219,0.0,0.0,0.0,1318,134,0.0,0.0,0.0
312311,104583,8449873,0.0,0.0,0.0,35534,3027,0.0,0.0,0.0
33153,12944,397325,0.0,0.0,0.0,9883,1191,0.0,0.0,0.0
12914,4957,132331,0.0,0.0,0.0,5352,949,0.0,0.0,0.0
75568,28476,934605,0.0,0.0,0.0,30530,4669,0.0,0.0,0.0
13308,5083,116100,0.0,0.0,0.0,4819,526,0.0,0.0,0.0
37821,12527,567806,0.0,0.0,0.0,11415,946,0.0,0.0,0.0
14273,4507,165491,0.0,0.0,0.0,3877,417,0.0,0.0,0.0
13821,6084,201784,0.0,0.0,0.0,7092,1735,0.0,0.0,0.0
8978,3858,154844,0.0,0.0,0.0,2267,369,0.0,0.0,0.0
32727,13495,455746,0.0,0.0,0.0,13949,1750,0.0,0.0,0.0
10959,4708,246830,0.0,0.0,0.0,3054,302,0.0,0.0,0.0
94392,35767,1069110,0.0,0.0,0.0,36588,2790,0.0,0.0,0.0
15020,6396,187624,0.0,0.0,0.0,4972,791,0.0,0.0,0.0
18429,6813,264237,0.0,0.0,0.0,2607,331,0.0,0.0,0.0
180719,70664,2570481,0.0,0.0,0.0,60066,9939,0.0,0.0,0.0
242803,86485,4486146,0.0,0.0,0.0,95058,14570,0.0,0.0,0.0
12389,5323,154320,0.0,0.0,0.0,5465,812,0.0,0.0,0.0
12330,5540,180064,0.0,0.0,0.0,4288,470,0.0,0.0,0.0
